,user_id,timestamp,Duration,IP,ProductID,ProductName,ProductCategory,Price,ProductQuantity
0,bb645c6c64e4460dafcab25f4711a229,1674495543,36,118.201.183.106,1236,Camping Tent,Sports & Outdoor,50,1
1,80a7112938114cc688957cdb521b2632,1674305210,22,27.131.128.0,1236,Camping Tent,Sports & Outdoor,50,2
2,8a5a6474242f4d61ae4f4a7b615d4526,1674016913,31,27.131.128.0,1236,Camping Tent,Sports & Outdoor,50,2
3,ca350f477c634a84bdaf67e046e634d2,1676815697,32,118.201.183.106,1236,Camping Tent,Sports & Outdoor,50,1
4,d7a556f061d84249802137d89b600208,1674460372,57,118.201.183.106,1236,Camping Tent,Sports & Outdoor,50,2
5,506ce0d642e140babe8be839964464c4,1673104401,14,27.79.255.255,1236,Camping Tent,Sports & Outdoor,50,2
6,831648956ff34ae0b187989499f8c1f9,1673508516,56,118.201.183.106,1236,Camping Tent,Sports & Outdoor,50,1
7,4cdf98f7facd4cf6ab4a8eadf9a3b4f4,1673615948,13,27.50.31.255,1236,Camping Tent,Sports & Outdoor,50,2
8,e08e7a6aae244038aed4a2e3abf943c5,1676945859,38,118.201.183.106,1236,Camping Tent,Sports & Outdoor,50,1
9,dbc72003143d4c2198386300c6264cdf,1677364474,20,118.201.183.106,1236,Camping Tent,Sports & Outdoor,50,1
10,5c41a98e58864319ad6c649d2cb748c6,1677352950,60,27.79.255.255,1236,Camping Tent,Sports & Outdoor,50,2
11,6b67da2a8cb141a887a579c3deead7b5,1673680237,39,27.131.128.0,1237,Ultraboost 3.0 Black,Men's Apparel,150,3
12,9754977333fb40d89b4d7e68f22bdcf3,1672851780,38,27.131.128.0,1237,Ultraboost 3.0 Black,Men's Apparel,150,2
13,3f4d3b126d644eac9c99c6e74079d930,1677447698,12,118.201.183.106,1237,Ultraboost 3.0 Black,Men's Apparel,150,1
14,d7d4afa59bec40c1818e80c7f2f5f404,1673399796,57,27.131.128.0,1237,Ultraboost 3.0 Black,Men's Apparel,150,1
15,7f9f971c79044bcfb4b74480021d0693,1675176333,32,27.131.128.0,1237,Ultraboost 3.0 Black,Men's Apparel,150,3
